Year,Month,MinPrice,MaxPrice,ModalPrice,RecordedArrivals,RecordedDays,DaysInMonth,AvgArrivalPerRecDay,AdjustedArrivals,tempmax,tempmin,humidity,precip,solarenergy,uvindex,Date
2017,11,1769.23,3346.15,2584.54,3128.1,26,30,120.31153846153846,3609.35,81.4,56.5,62.19,0.02,15.27,6.73,2017-11-01
2017,12,1600.0,2624.0,2129.2,2760.3,25,31,110.412,3422.77,73.8,49.72,65.12,0.31,13.14,5.9,2017-12-01
2018,1,1326.92,2388.46,1887.96,3374.8,26,31,129.8,4023.8,70.62,45.55,75.08,0.14,15.21,6.68,2018-01-01
2018,2,1020.83,2666.67,1811.12,3860.4,24,28,160.85,4503.8,78.74,53.0,61.92,0.0,17.62,7.46,2018-02-01
2018,3,1703.85,2984.62,2314.0,4068.0,26,31,156.46153846153845,4850.31,91.01,63.25,48.86,0.0,22.19,8.74,2018-03-01
2018,4,571.43,1990.48,1203.14,1960.3,21,30,93.34761904761903,2800.43,100.11,73.73,37.55,0.55,24.85,9.43,2018-04-01
2018,5,395.83,1008.33,698.62,2058.8,24,31,85.78333333333335,2659.28,105.46,79.48,35.37,0.99,26.39,9.58,2018-05-01
2018,6,1210.53,2530.11,1885.47,1257.4,19,30,66.17894736842106,1985.37,103.33,85.88,51.01,1.63,23.13,8.53,2018-06-01
2018,7,2558.33,5583.33,3978.83,1851.1,24,31,77.12916666666666,2391.0,95.25,81.62,76.42,11.25,17.12,6.84,2018-07-01
2018,8,1400.0,4557.69,2863.08,2775.2,26,31,106.73846153846154,3308.89,93.4,81.43,78.25,7.45,15.89,6.81,2018-08-01
2018,9,1664.0,3472.0,2614.76,5056.5,25,30,202.26,6067.8,90.48,76.55,79.59,8.52,15.69,6.53,2018-09-01
2018,10,1056.52,2278.26,1705.96,4190.0,23,31,182.17391304347825,5647.39,91.05,67.28,60.35,0.0,18.53,7.71,2018-10-01
2018,11,510.53,1231.58,875.42,3334.8,19,30,175.5157894736842,5265.47,82.16,57.85,65.27,0.27,15.29,6.7,2018-11-01
2018,12,723.08,1323.08,996.15,3747.9,26,31,144.15,4468.65,72.23,46.41,73.05,0.04,14.1,6.06,2018-12-01
2019,1,1533.33,2733.33,2137.5,3180.5,24,31,132.52083333333334,4108.15,69.0,46.58,76.66,2.01,14.25,6.35,2019-01-01
2019,2,1683.33,3104.17,2456.25,3358.5,24,28,139.9375,3918.25,71.5,52.49,78.85,0.88,15.44,6.68,2019-02-01
2019,3,2516.67,4379.17,3308.25,3529.8,24,31,147.07500000000002,4559.33,82.84,58.65,60.95,0.42,20.77,8.32,2019-03-01
2019,4,1846.15,4361.54,3023.15,1977.0,26,30,76.03846153846153,2281.15,99.59,72.95,42.54,0.32,24.31,9.23,2019-04-01
2019,5,866.67,2148.15,1519.19,2045.2,27,31,75.74814814814815,2348.19,103.02,77.66,39.76,1.04,26.36,9.48,2019-05-01
2019,6,912.0,1812.0,1338.0,1968.8,25,30,78.752,2362.56,105.35,84.56,43.98,0.34,25.17,9.07,2019-06-01
2019,7,2376.0,4664.0,3472.0,2047.7,25,31,81.908,2539.15,96.29,82.37,71.26,7.66,17.72,7.26,2019-07-01
2019,8,2353.85,3469.23,2911.54,4516.5,26,31,173.71153846153845,5385.06,93.9,81.09,78.48,4.84,16.69,6.97,2019-08-01
